組成品號,版本,製程,材料(半成品),版本,用量,係數,lastUpdatedDate,順序
BOFMDOE009V4N,X2,PDIS,,,1,1,2018/3/1 12:00:00,11
BOFMDOE009V4N,X2,PDHK,,,1,1,2018/3/1 12:00:00,12
BOFMDOE009V4N,X2,BTA1,,,1,1,2018/3/1 12:00:00,14
BOFMDOE009V4N,X2,BTB9,,,1,1,2018/3/1 12:00:00,15
BOFMDOE009V4N,X2,PDMC,P2CAG23KHPM0174,,1,1,2018/3/1 12:00:00,17
BOFMDOE009V4N,X2,PDEA,,,1,1,2018/3/1 12:00:00,19
BOFMDOE009V4N,X2,PDDT,,,1,1,2018/3/1 12:00:00,20
BOFMDOE009V4N,X2,PDMA,P2CAG23KHPM0174,,1,1,2018/3/1 12:00:00,23
BOFMDOE009V4N,X2,PDEB,,,1,1,2018/3/1 12:00:00,25
BOFMDOE009V4N,X2,PDDU,,,1,1,2018/3/1 12:00:00,26
BOFMDOE009V4N,X2,PDQP,PKPGC,,1,1,2018/3/1 12:00:00,28
BOFMDOE009V4N,X2,PDIT,,,1,1,2018/3/1 12:00:00,29
BOFMDOE009V4N,X2,BXBM,,,1,1,2018/3/1 12:00:00,30
BOFMDOE009V4N,X2,PDH1,,,1,1,2018/3/1 12:00:00,31
BOFMDOE009V4N,X2,BTB2,,,1,1,2018/3/1 12:00:00,32
BOFMDOE009V4N,X2,BTA2,,,1,1,2018/3/1 12:00:00,33
BOFMDOE009V4N,X2,BTBA,,,1,1,2018/3/1 12:00:00,34
BOFMDOE009V4N,X2,BXC6,,,1,1,2018/3/1 12:00:00,35
BOFMDOE009V4N,X2,BXAL,,,1,1,2018/3/1 12:00:00,36
BOFMDOE009V4N,X2,BXBH-A,,,1,1,2018/3/1 12:00:00,37
